PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
ASM conversion time,Allotrope Simple Model conversion time,afo,result,An ASM conversion time is a time when a conversion to the Allotrope Simple Model starts. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003171
ASM converter,Allotrope Simple Model converter,afo,result,An ASM converter is a software used to convert data into the Allotrope Simple Model format. [Allotrope],,,,data format conversion software,http://purl.allotrope.org/ontologies/result#AFR_0002795
ASM converter method identifier,Allotrope Simple Model converter method identifier,afo,result,An ASM converter method identifier is an identifier identifying the method used by an ASM converter to convert data into the Allotrope Simple Model format. [Allotrope],,,,method identifier,http://purl.allotrope.org/ontologies/result#AFR_0002751
ASM converter name,Allotrope Simple Model converter name,afo,result,An ASM converter name is a written name of some software used to convert data into the Allotrope Simple Model format. [Allotrope],,,,software name,http://purl.allotrope.org/ontologies/result#AFR_0002748
ASM converter version,Allotrope Simple Model converter version,afo,result,An ASM converter version is a software version specifying the version of an ASM converter used to convert data into the Allotrope Simple Model format. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002749
ASM file,Allotrope Simple Model file,afo,result,An ASM file is a file that conforms to the Allotrope Simple Model specification. [Allotrope],,,,file,http://purl.allotrope.org/ontologies/result#AFR_0002968
ASM file identifier,Allotrope Simple Model file identifier,afo,result,An ASM file identifier is an identifier that identifies some ASM file. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002969
Auger spectrum,,aft,result,"A plot of intensity vs. kinetic energy obtained when a high energy photon ionizes a core electron and an electron from a higher energy level descends to take its place, releasing sufficient energy to eject a second so-called 'Auger' electron. [CHMO]",,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000001
BET C constant,,bet-analysis,result,A BET C constant is a calculated constant from a BET analysis equal to Exp(E1−EL) where E1 is  heat of adsorption for the first layer and EL is the heat of vaporization for layers beyond the first layer. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002122
BET analysis,,bet-analysis,process,A BET analysis is a measuring process for calculating surface area based on the Brunauer–Emmett–Teller (BET) theory of multiple adsorption layers. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003761
BET plot,Brunauer–Emmett–Teller plot,bet-analysis,result,"A BET plot is a data distribution function of an adsorption isotherm with 1/v[(p0/p)-1] on the y-axis and p/p0 on the x-axis, where p is equilibrium pressure and p0 saturation pressure of adsorbates at the temperature of adsorption, and v is the adsorbed gas quantity. [Wikipedia]",,https://en.wikipedia.org/wiki/BET_theory,,,http://purl.allotrope.org/ontologies/result#AFR_0002286
BET plot data cube,Brunauer–Emmett–Teller plot data cube,bet-analysis,result,A BET plot data cube is a data cube that represents a BET plot. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002287
BET point document,,bet-analysis,result,A BET point document is a document that encompasses the information associated with a single BET measurement point. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002116
Cartesian coordinate,,afo,result,"A Cartesian coordinate is a coordinate in a Cartesian coordinate system, that specifies each point uniquely in an n-dimensional Euclidean space . These coordinates are equal, up to sign, to distances from the point to n mutually perpendicular hyperplanes. [Allotrope, Wikipedia]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002486
Cartesian coordinate role,Cartesian coordinate,aft,role,"A Cartesian coordinate role is a coordinate role of a scalar in a Cartesian coordinate system, that specifies each point uniquely in an n-dimensional Euclidean space . These coordinates are equal, up to sign, to distances from the point to n mutually perpendicular hyperplanes. [Allotrope, Wikipedia]",,https://en.wikipedia.org/wiki/Cartesian_coordinate_system,,coordinate role,http://purl.allotrope.org/ontologies/role#AFRL_0000281
FTIR profile,FTIR profile result,ir,result,An FTIR profile is a profile that quantifies the absorbance by or transmittance through a material entity over time and by frequency in the infrared range. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002357
Fourier transform Raman spectroscopy,FT Raman spectrometry; Fourier-transform Raman spectroscopy; Fourier-transform Raman spectrometry; FT Raman spectroscopy; FT-Raman; Fourier transform Raman spectrometry,aft,process,Fourier transform Raman spectroscopy is a type of vibrational spectroscopy where the Raman scattering of light by a sample is detected and the spectrum is subject to a Fourier transform. [CHMO],,,,Raman spectroscopy,http://purl.allotrope.org/ontologies/process#AFP_0001062
Fourier transform Raman spectroscopy,FT-Raman; Fourier transform Raman spectrometry,raman,process,A type of vibrational spectroscopy where the Raman scattering of light by a sample is detected and the spectrum is subject to a Fourier transform. [CHMO],,,,,http://purl.allotrope.org/ontologies/process#AFP_0001062
Fourier transform infrared absorption spectroscopy,FT-IR; Fourier transform infra-red spectrometry; FT-IR spectroscopy; Fourier transform infra-red absorption spectroscopy; Fourier transform infrared spectroscopy; Fourier transform infrared (FT-IR) spectroscopy; FTIR; Fourier transform infrared spectrometry; Fourier transform infrared (FT-IR); FTIR spectrometry; Fourier-transform infrared (FTIR) absorption spectroscopy; FTIR spectroscopy,aft,process,Fourier transform infrared spectroscopy is a type of vibrational spectroscopy where the sample absorbs radiation from the infrared region (0.78-1000 µm) and the spectrum obtained is subject to a Fourier transform. [CHMO],,,,infrared absorption spectroscopy,http://purl.allotrope.org/ontologies/process#AFP_0001787
Fourier transform infrared document,Fourier transform infrared result; FTIR document; FTIR result,ir,result,A FTIR document is a document that encompasses the information associated with a Fourier Transform Infrared Spectroscopic run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002070
Fourier transform near infrared absorption spectrometry,Fourier transform near infrared absorption spectroscopy; FTNIRS; Fourier transform near infra-red absorption spectrometry; Fourier transform near infra-red spectroscopy; FT NIRS; Fourier transform near infra-red absorbance spectrometry; Fourier transform near infrared absorbance spectrometry; Fourier transform near infrared absorbance spectroscopy; Fourier transform near infra-red spectrometry; FT-NIRS,aft,process,A type of spectroscopy where the sample absorbs a single pulse of radiation from the near infrared region (0.8-2 µm) and the spectrum obtained is subject to a Fourier transform. [CHMO],,,,near infrared absorption spectroscopy,http://purl.allotrope.org/ontologies/process#AFP_0001657
Fourier transformation,fourier transformation,aft,process,The Fourier transformation decomposes a function of time (e.g. a signal) into the frequencies that make it up. [Wikipedia],,,,calculation,http://purl.allotrope.org/ontologies/process#AFP_0001756
GC system,,gc,equipment,A GC system is a device system that has a gas chromatograph component. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002195
InChI molecular structure,,afo,result,An InChI molecular structure is a molecular structure specified in IUPAC International Chemical Identifier (InChI) line notation. [edamontology.org],,http://edamontology.org/,,,http://purl.allotrope.org/ontologies/result#AFR_0002296
InChIKey molecular structure,,afo,result,"An InChIKey molecular structure is a molecular structure specified as an InChIKey (hashed InChI), which is a fixed length (25 character) condensed digital representation of an InChI chemical structure specification. It uniquely identifies a chemical compound. An InChIKey identifier is not human- nor machine-readable but is more suitable for web searches than an InChI chemical structure specification. [edamontology.org]",,http://edamontology.org/,,,http://purl.allotrope.org/ontologies/result#AFR_0002297
Inverse Molar Concentration Per Time Unit,,qudt-ext,"",Inverse Molar Concentration Per Time Unit is the measure of the rate and direction of a chemical reaction. [Allotrope],,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#InverseMolarConcentrationPerTimeUnit
J-coupling,,nmr,process,"A J-coupling is a coupling between two nuclei spins, mediated through chemical bonds. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0003845
J-coupling aggregate document,,nmr,result,A J-coupling aggregate document is a document that aggregates J-coupling documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002985
J-coupling constant,,nmr,result,A J-coupling constant is a data region facet that quantifies the horizontal distance on a spectrum between two peaks in the same NMR multiplet. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003004
J-coupling document,,nmr,result,A J-coupling document is a document that encompasses the information associated with a J-coupling. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002986
Karl-Fischer coulometer,Karl Fischer coulometric titrator; Karl Fischer coulometer,titration,equipment,"A Karl-Fischer coulometer is a piece of apparatus, consisting of an electrolytic cell with an anodic compartment containing sulfur dioxide (SO2), iodide and a cathodic compartment containing the sample, which is used to determine trace amounts of water in a sample by measuring the time and current flow required to reach the titration end-point. [CHMO]",,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000107
Karl-Fischer coulometric titration,Karl-Fischer coulometry; coulometric Karl Fischer titration; Karl Fischer coulometry; coulometric Karl-Fischer titration; Karl Fischer coulometric titration,titration,process,Karl-Fischer coulometric titration is a process of determining trace amounts of water in a sample by the titration of sulfur dioxide in water using iodine. In this method the I2 is generated electrochemically from I- and titrated with sulfur dioxide. [CHMO],,,,coulometric titration; Karl-Fischer titration,http://purl.allotrope.org/ontologies/process#AFP_0001001
Karl-Fischer titrant solution,Karl Fischer titration solution; Karl-Fischer titration solution; Karl Fischer titrant solution,titration,material,A Karl-Fischer titration solution is a titrant solution used in a Karl-Fischer titration. [Allotrope],,,,titrant solution,http://purl.allotrope.org/ontologies/material#AFM_0001107
Karl-Fischer titration,Karl Fischer titration,titration,process,Karl-Fischer titration is a process of determining trace amounts of water in a sample by the titration of sulfur dioxide in water using iodine. [CHMO],,,,,http://purl.allotrope.org/ontologies/process#AFP_0000441
Karl-Fischer titration curve,Karl Fischer titration curve,titration,result,A Karl-Fischer titration curve is a titration curve of mass of water over time. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000023
Karl-Fischer titration result,Karl Fischer titration result,titration,result,A Karl-Fischer titration result is the result of a Karl-Fischer titration run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000468
Karl-Fischer titrator,Karl Fischer titrator,titration,equipment,A Karl-Fischer titrator is a titrator designed for Karl-Fischer titrations. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002220
Karl-Fischer volumetric titration,volumetric Karl-Fischer titration; Karl Fischer volumetric titration; volumetric Karl Fischer titration,titration,process,Karl-Fischer volumetric titration is a process of determining trace amounts of water in a sample by the titration of sulfur dioxide in water using iodine. In this method the titrant is added directly to the sample using a burette. [CHMO],,,,volumetric titration; Karl-Fischer titration,http://purl.allotrope.org/ontologies/process#AFP_0000119
LC system,liquid chromatography system,lc,equipment,A LC system is a device system that has a liquid chromatograph component. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002197
LC-MS reaction monitoring data processing,LC/MS reaction monitoring data processing,lc-ms,process,LC-MS reaction monitoring data processing is a data processing for analyzing samples using MRM technologies. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003713
LC-UV system,,lc-uv,equipment,A LC-UV system is a device system that has a liquid chromatograph and an ultra-violet detector component. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002144
LC-UV system method,instrument method,lc-uv,result,A plan specification that specifies an LC-UV system process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001653
LC-UV system process,,lc-uv,process,A process that is executed by an LC-UV system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003679
Molfile molecular structure,,afo,result,A Molfile molecular structure is a molecular structure specified as an MDL Molfile. [edamontology.org],,http://edamontology.org/,,,http://purl.allotrope.org/ontologies/result#AFR_0002308
Mossbauer spectrum,Mossbauer spectra; Mössbauer spectrum; Mössbauer spectra; Moessbauer spectrum; Moessbauer spectra,aft,result,A plot of intensity vs. velocity obtained by measuring the intensity and kinetic energy of a beam of gamma-rays transmitted through a solid sample. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000496
NMR multiplet,nuclear magnetic resonance multiplet,nmr,result,"An NMR multiplet is a peak group in a NMR spectrum, all of which are associated with a single nuclei but for which the signal has been split due to interactions with neighboring nuclei. [Allotrope]",,,,,http://purl.allotrope.org/ontologies/result#AFR_0002372
NMR multiplet aggregate document,nuclear magnetic resonance multiplet aggregate document,nmr,result,An NMR multiplet aggregate document is a document that aggregates NMR multiplet documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002982
NMR multiplet document,nuclear magnetic resonance multiplet document,nmr,result,An NMR multiplet document is a document that encompasses the information associated with an NMR multiplet. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002983
NMR multiplet type,nuclear magnetic resonance multiplet type,nmr,result,An NMR multiplet type is a classification datum that classifies a multiplet in a nuclear magnetic resonance assay. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002984
OpenID identifier,OpenID; OpenID id,organization,result,OpenID is an identifier following the OpenID specification. [Allotrope],,,,online account identifier,http://purl.allotrope.org/ontologies/result#AFR_0001485
PCR aggregate document,,pcr,result,A PCR aggregate document is a document that aggregates PCR documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002925
PCR detection chemistry,,pcr,result,A PCR detection chemistry is a classification datum that classifies a PCR detection based on the fluorescent agent used and the specificity of detection. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002233
PCR document,,pcr,result,A PCR document is a document that encompasses the information associated with some PCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002926
PCR experiment,,pcr,process,A PCR experiment is an experiment that uses PCR to achieve its goals. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003842
PCR reaction block,block; reaction block; qPCR block; PCR block; qPCR reaction block,pcr,equipment,A PCR reaction block is a container for samples used in PCR instruments. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002243
PCR result,,pcr,result,A PCR result is an assay result that is output of a PCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002279
PCR role,polymerase chain reaction role,pcr,role,A PCR role is a role of a material used in a PCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000535
PCR setting,,pcr,result,A PCR setting is a setting for a PCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002278
POSIX path,Portable Operating System Interface path,afo,result,A POSIX path is a file path for a file location that is specified by the POSIX standard. [Allotrope],,https://en.wikipedia.org/wiki/POSIX,,file path,http://purl.allotrope.org/ontologies/result#AFR_0001928
POSIX standard,POSIX; Portable Operating System Interface,aft,result,POSIX is a family of standards specified by the IEEE Computer Society for maintaining compatibility between operating systems. [Wikipedia],,https://en.wikipedia.org/wiki/POSIX,,standard,http://purl.allotrope.org/ontologies/result#AFR_0001929
Paul ion trap,quadrupole ion trap; quadrupole ion storage trap; QIT; QUISTOR,mass-spectrometry,equipment,Ion trapping device that depends on the application of radio frequency potentials between a ring electrode and two end-cap electrodes to confine the ion motion to a cyclic path described by an appropriate form of the Mathieu equation. The choice of these potentials determines the m/z value below which ions are not trapped. [IUPAC],,"K. K. Murray, R. K. Boyd, M. N. Eberlin, G. J. Langley, L. Li and Y. Naito, Pure Appl. Chem., 2013, 85, 1515-1609",,ion trap,http://purl.allotrope.org/ontologies/equipment#AFE_0000541
Quantity Per Time Unit,,qudt-ext,"",Quantity per time is the amount of some measured quantity divided by unit time. [Allotrope],,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#QuantityPerTimeUnit
Quantity Times Time Unit,,qudt-ext,"",Quantity times time is the amount of some measured quantity multiplied by unit time. [Allotrope],,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#QuantityTimesTimeUnit
Quantity Times Volume Unit,,qudt-ext,"",Quantity times volume is the amount of some measured quantity multiplied by unit volume. [Allotrope],,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#QuantityTimesVolumeUnit
RDF Mapping,,datacube-hdf-mapping,datacube-hdf-map,A RDF to HDF mapping is part of a Component mapping and describes a mapping from an RDF type to a HDF type for a component data type or an attribute thereof. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube-hdf-map#RDFMapping
Raman document,Raman result,raman,result,A Raman document is a document that encompasses the information associated with a Raman spectroscopic run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002071
Raman intensity,intensity,raman,result,Raman intensity is the intensity of a Raman signal. [Allotrope],,"PAC, 1981, 53, (Presentation of raman spectra in data collections (Recommendations 1981))",,,http://purl.allotrope.org/ontologies/result#AFR_0001589
Raman interferogram,,aft,result,A Raman interferogram is an interferogram produced by FT Raman spectroscopy. [Allotrope],,,,interferogram,http://purl.allotrope.org/ontologies/result#AFR_0001600
Raman interferogram data cube,,raman,result,Raman interferogram data cube is a data cube that is a representation of an Raman interferogram. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001598
Raman interferogram intensity,interferogram intensity; intensity,raman,result,Raman interferogram intensity is the intensity of the Raman interferogram signal. [Allotrope],,"PAC, 1981, 53, (Presentation of raman spectra in data collections (Recommendations 1981))",,,http://purl.allotrope.org/ontologies/result#AFR_0001590
Raman interferogram time,interferogram time; time,raman,result,Raman interferogram time is time used as abscissa of an Raman interferogram. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001601
Raman profile,Raman profile result,raman,result,A Raman profile is a profile that quantifies the intensity of Raman scattering vs. Raman shift (cm-1) over time. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002359
Raman spectrometer,,aft,equipment,A Raman spectrometer is a piece of apparatus that allows for the measurement of Raman spectra. It consists of a laser and a detector. [Allotrope],,,,measurement device,http://purl.allotrope.org/ontologies/equipment#AFE_0000551
Raman spectrometer configuration,Raman spectrometer setting,raman,quality,Raman spectrometer configuration is a device configuration of a Raman spectrometer. [Allotrope],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000236
Raman spectrometer setting,,raman,result,A Raman spectrometer setting is a setting for a Raman spectrometer or its components. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001593
Raman spectroscopy,Raman scattering spectroscopy; Raman scattering spectrometry; laser Raman spectroscopy; Raman spectrometry,aft,process,"Any type of vibrational spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range by a sample is detected. [CHMO]",,,,scattering spectroscopy,http://purl.allotrope.org/ontologies/process#AFP_0000047
Raman spectroscopy parameter,Raman parameter,raman,result,A Raman spectroscopy parameter is a parameter that controls a Raman spectroscopy. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001675
Raman spectroscopy result,Raman result,afo,result,A Raman spectroscopy result is the result of a Raman spectroscopy. [Allotrope],,,,spectroscopy result,http://purl.allotrope.org/ontologies/result#AFR_0002104
Raman spectrum,Raman spectra,aft,result,A plot of intensity vs. Raman shift (cm-1) obtained by measuring the Raman scattering of monochromatic light from a sample. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000519
Raman spectrum data cube,,raman,result,Raman spectrum data cube is a data cube that is a representation of an Raman spectrum. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001597
Raman wavenumber shift,,raman,result,Raman shift is the difference in wavenumbers between the observed Raman radiation and that of the excitation source. [Allotrope],,"PAC, 1981, 53, (Presentation of raman spectra in data collections (Recommendations 1981))",,,http://purl.allotrope.org/ontologies/result#AFR_0001591
Raman wavenumber shift,,raman,result,Raman shift is the difference in wavenumbers between the observed Raman radiation and that of the excitation source. [Allotrope],,https://en.wikipedia.org/wiki/Raman_spectroscopy,,,http://purl.allotrope.org/ontologies/result#AFR_0001591
SFC system,supercritical-fluid chromatography system,sfc,equipment,A SFC system is a device system that has a supercritical fluid chromatograph component. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002223
SIM spectrum,selected ion monitoring spectrum; multiple ion monitoring spectrum; MIM spectrum,mass-spectrometry,result,Spectrum obtained with the operation of a mass spectrometer in which the abundances of one ion or several ions of specific m/z values are recorded rather than the entire mass spectrum (Selected Ion Monitoring). [PSI/MS],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000386
SMILES molecular structure,,afo,result,A SMILES molecular structure is a molecular structure specified in Simplified Molecular Input Line Entry System (SMILES) line notation. [edamontology.org],,http://edamontology.org/,,,http://purl.allotrope.org/ontologies/result#AFR_0002295
Skype identifier,Skype ID; Skype id,organization,result,A Skype ID is an online account on the Skype system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001481
Tauc plot,,aft,result,"A plot of e vs hv where e is the molar extinction coefficient, that is used to determine the optical gap (or 'Tauc gap') in amorphous thin film materials. [CHMO]",,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000373
UNC path,universal naming convention path; uniform naming convention path,afo,result,An UNC path is a file path for a file location in a network that is specified by the universal naming convention. [Allotrope],,,\\\\ComputerName\\SharedFolder\\Resource,file path,http://purl.allotrope.org/ontologies/result#AFR_0001906
URL,,organization,result,"A Uniform Resource Locator (URL), colloquially termed a web address, is a reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it. [Wikipedia]",,,,communication facet,http://purl.allotrope.org/ontologies/result#AFR_0001068
UV lamp,,uv,equipment,A UV lamp is a light source with an ultraviolet wavelength range of 190 to 380 nm. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0001755
X-ray radiation,X-ray,aft,material,A form of electromagnetic radiation with a wavelength ranging from 0.01 to 10 nanometers. [Wikipedia],,https://en.wikipedia.org/wiki/X-ray,,electromagnetic energy,http://purl.allotrope.org/ontologies/material#AFM_0001054
X-ray spectrum,X-ray spectra,aft,result,A plot of intensity vs. energy obtained by measuring the number and energy of X-rays absorbed or emitted by a sample. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000341
Young modulus,Young's modulus; modulus of elasticity; Youngs modulus,afo,result,A Young modulus is a quality quantification facet quantifying the ratio of tensile stress to tensile strain of a material. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002583
Young modulus (quality),Young's modulus; Young's modulus (quality); modulus of elasticity; modulus of elasticity (quality); Youngs modulus; Youngs modulus (quality); Young modulus,aft,quality,A Young modulus is the ratio of tensile stress to tensile strain of a material. [Allotrope],,,,ratio,http://purl.allotrope.org/ontologies/quality#AFQ_0000341
abort command,abort,aft,result,An abort command is a process command that orders the procedural element to execute an aborting logic. [Allotrope],,,,process command,http://purl.allotrope.org/ontologies/result#AFR_0001629
aborted state,aborted; is aborted,aft,process,An aborted state is a state during which a planned process has run to completion in an abnormal way and the device or service is waiting for a reset that cause the state to change to an idle state. [Allotrope],,,,process state,http://purl.allotrope.org/ontologies/process#AFP_0003670
above gap foam row count,,foam-height,result,An above gap foam row count is a count of the number of rows of pixels in a raster image where foam is detected above an air gap. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002679
above of (quality),above; above of,aft,quality,Above of is a vertical position if the bottom of the bearer's spatial extend along the vertical dimension is higher then then the top of the other. [Allotrope],,,,vertical position (quality),http://purl.allotrope.org/ontologies/quality#AFQ_0000334
abraded material role,,afo,role,An abraded material is an abrading role of a material whose surface is being abraded in an abrading process. [Allotrope],,,,abrading role,http://purl.allotrope.org/ontologies/role#AFRL_0000559
abrading,,afo,process,"Abrading is a material process of scuffing, scratching, wearing down, marring, or rubbing away. [Wikipedia]",,,,material process,http://purl.allotrope.org/ontologies/process#AFP_0003830
abrading material description,,afo,result,An abrading material description is a description of the material with the role of abrading material. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002711
abrading material role,,afo,role,An abrading material role is an abrading role of a material whose surface is being applied to another material to cause abrasion. [Allotrope],,,,abrading role,http://purl.allotrope.org/ontologies/role#AFRL_0000558
abrading role,,afo,role,An abrading role is a role of an entity that is realized in an abrading process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000560
abrading source role,abrading agent; abrading source; abrading agent role,afo,role,An abrading source role is an abrading role of a device or human that abrades material using abrading material. [Allotrope],,,,abrading role; agent role,http://purl.allotrope.org/ontologies/role#AFRL_0000561
abrasion cycle count,,afo,result,An abrasion cycle count is a count of the number of abrasion cycles in an abrasion process. [Allotrope],,,,cycle count,http://purl.allotrope.org/ontologies/result#AFR_0002713
abrasion source description,,afo,result,An abrasion source description is a description of the device or manual agent of abrasion in an abrasion process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002709
abrasion weight,,afo,result,An abrasion weight is a mass facet that quantifies the mass of the component used to apply abrasion to a sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002714
absolute intensity,absolute intensity (datum); absolute signal intensity,aft,result,Absolute intensity (datum) is a quantity facet that quantifies the absolute magnitude of a signal. [Allotrope],,,,intensity,http://purl.allotrope.org/ontologies/result#AFR_0002538
absolute water content,,afo,result,An absolute water content is a mass datum quantifying the absolute mass of water in a sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002445
absorbance,absorbance (datum),aft,result,"Absorbance is a quantity facet that quantifies the absorbance as logarithm to the base 10 (linear absorbance) of the incident (prior to absorption) spectral radiant power, divided by the transmitted spectral radiant power. [IUPAC]",,"PAC, 1990, 62, 2167 (Glossary of atmospheric chemistry terms (Recommendations 1990))",,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0001157
absorbance,absorbance (datum),aft,result,"Absorbance is a quantity facet that quantifies the absorbance as logarithm to the base 10 (linear absorbance) of the incident (prior to absorption) spectral radiant power, divided by the transmitted spectral radiant power. [IUPAC]",,"PAC, 1996, 68, 2223 (Glossary of terms used in photochemistry (IUPAC Recommendations 1996))",,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0001157
